Identifier (RIC),Company Name,TRBC Industry Group Name,TRBC Industry Name,TRBC Activity Name,Total Debt Percentage of Total Equity: 2025,Total Debt Percentage of Total Equity: 2024,Total Debt Percentage of Total Equity: 2023,Total Debt Percentage of Total Equity: 2022,Total Debt Percentage of Total Equity: 2021,Total Debt Percentage of Total Equity: 2020,Total Debt Percentage of Total Equity: 2019,Total Debt Percentage of Total Equity: 2018,Total Debt Percentage of Total Equity: 2017,Total Debt Percentage of Total Equity: 2016,Return on Assets - Actual: 2025,Return on Assets - Actual: 2024,Return on Assets - Actual: 2023,Return on Assets - Actual: 2022,Return on Assets - Actual: 2021,Return on Assets - Actual: 2020,Return on Assets - Actual: 2019,Return on Assets - Actual: 2018,Return on Assets - Actual: 2017,Return on Assets - Actual: 2016,Return on Equity - Actual: 2025,Return on Equity - Actual: 2024,Return on Equity - Actual: 2023,Return on Equity - Actual: 2022,Return on Equity - Actual: 2021,Return on Equity - Actual: 2020,Return on Equity - Actual: 2019,Return on Equity - Actual: 2018,Return on Equity - Actual: 2017,Return on Equity - Actual: 2016,Company Market Cap: 2025,Company Market Cap: 2024,Company Market Cap: 2023,Company Market Cap: 2022,Company Market Cap: 2021,Company Market Cap: 2020,Company Market Cap: 2019,Company Market Cap: 2018,Company Market Cap: 2017,Company Market Cap: 2016,Independent Board Members: 2025,Independent Board Members: 2024,Independent Board Members: 2023,Independent Board Members: 2022,Independent Board Members: 2021,Independent Board Members: 2020,Independent Board Members: 2019,Independent Board Members: 2018,Independent Board Members: 2017,Independent Board Members: 2016,ESG Score: 2025,ESG Score: 2024,ESG Score: 2023,ESG Score: 2022,ESG Score: 2021,ESG Score: 2020,ESG Score: 2019,ESG Score: 2018,ESG Score: 2017,ESG Score: 2016,ESG Score: 2015,ESG Score: 2014,ESG Controversies Score: 2025,ESG Controversies Score: 2024,ESG Controversies Score: 2023,ESG Controversies Score: 2022,ESG Controversies Score: 2021,ESG Controversies Score: 2020,ESG Controversies Score: 2019,ESG Controversies Score: 2018,ESG Controversies Score: 2017,ESG Controversies Score: 2016,ESG Controversies Score: 2015,ESG Controversies Score: 2014
CFR.S,Compagnie Financiere Richemont SA,Textiles & Apparel,Apparel & Accessories,Jewelry,0.5916268,0.7914708,0.8239655,0.755475,0.7577164,0.5645171,0.4143436,0.5594343,0.1378067,0.1646175,0.089,0.08779,0.0941,0.0566,0.04,0.03359,0.0547,0.0534,0.0601,0.1098,0.1748,0.21809,0.1964,0.1134,0.0754,0.05769,0.0929,0.081,0.0792,0.1511,99497361004,78823996080,67004223587,63264864042,69121144914,38591422790,36585880202,29221120801,39436777467,32904996738,61.11%,65.00%,75.00%,72.73%,66.67%,65.00%,65.00%,55.56%,50.00%,47.37%,68.06018871,63.59843699,69.04936105,76.77154422,69.68045005,68.2152093,67.82647149,65.19465531,59.0911135,61.03565558,,,33.92857143,100,71.42857143,100,100,100,100,100,100,100,,
CROX.OQ,Crocs Inc,Textiles & Apparel,Footwear,Footwear (NEC),0.7350414,1.1447126,2.8393459,54.7784406,0.6193378,1.5541488,0.7983607,0.0037524,0.0059557,,0.1666,0.163,0.22399,0.3978,0.23699,0.19149,-0.1367,0.0211,-0.0458,,0.47899,0.6564,1.62819,3.47759,1.0439,0.8193,-0.4118,0.0576,-0.1152,,3655277539,5977419026,5126456077,6255810984,6637397199,3463016449,2563749285,1513208582,734078077.4,479910200.4,88.89%,87.50%,87.50%,88.89%,90.00%,87.50%,77.78%,77.78%,87.50%,0.00%,,63.13675396,63.27886694,68.39818285,60.38023127,5.229710877,32.76024615,29.66547315,18.9447521,15.95163168,,,,15.90909091,39.28571429,100,100,100,100,100,100,100,,
CULP.OQ,Culp Inc,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),0.220576,0.0070275,0.0030871,0.0023012,,0.2958488,,,,,,,,-0.0164,0.03379,,,,,,,,,-0.026,0.0561,,,,,,38382048.08,71208164.06,65423255.06,52726666.67,102143568.2,159879892.4,150803505.1,204969384.1,347266709.3,435061506.7,80.00%,77.78%,75.00%,80.00%,71.43%,71.43%,71.43%,66.67%,66.67%,0.00%,34.91496825,30.46723075,27.21968325,26.78958648,24.15936076,23.44815136,22.05134112,19.13467655,19.08944564,,,,100,100,100,100,100,100,100,100,100,,,
0210.HK,Daphne International Holdings Ltd,Textiles & Apparel,Footwear,Footwear (NEC),0.0091572,0.0138107,0.0575573,0.0524204,0.0423323,0.0578763,0.1006086,0.0514794,0.0840005,0.1335288,,,,,-0.13864,-0.03297,0.02274,0.04384,0.14663,0.16156,,,,,-0.20912,-0.04995,0.03485,0.0667,0.22663,0.26062,87693072.82,62738995.68,42476304.07,29301793.78,35207358.36,42918656.64,27383109.56,45167385.04,85342865.07,157794986.4,42.86%,50.00%,50.00%,57.14%,42.86%,57.14%,50.00%,42.86%,42.86%,37.50%,,44.82186488,46.04947607,48.72821022,45.59604192,43.85853861,37.59391866,37.02727122,38.416676,18.50823319,14.85522969,,,100,100,100,100,100,100,100,100,100,100,
DECK.N,Deckers Outdoor Corp,Textiles & Apparel,Footwear,Footwear (NEC),0.00038,0.0004527,0.0005426,0.0003568,,0.0271033,0.0301436,0.0341015,0.0341953,0.1034718,0.28809,0.2669,0.2114,0.20089,0.1946,0.173,0.1965,0.1496,0.1001,0.1213,0.4182,0.3922,0.3128,0.303,0.2961,0.2527,0.2663,0.1938,0.1286,0.1559,12864568206,29801720717,15584790933,9871455991,8844559800,6594571580,4214129705,3248936657,2138129385,1690452833,81.82%,90.00%,90.00%,90.91%,83.33%,90.00%,91.67%,80.00%,80.00%,88.89%,61.37137644,62.54135546,64.9150697,67.84211478,65.98151349,60.99469696,57.49680642,53.15709067,53.65059174,51.53984501,,,53.57142857,100,100,100,100,100,100,100,100,100,,
DLAPQ.PK,Delta Apparel Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),1.1019208,0.9351091,0.798062,0.9715389,0.8779502,0.7448008,0.6172484,0.7722527,0.7073544,0.9404227,,,,,0.0228,0.0347,0.0292,0.0268,,,,,,,0.05419,0.0796,0.0628,0.0605,0.03,,600.3560645,6.810705785,45231538.22,69410478.76,184065310.7,114616791.8,193891377.8,104894392.8,122499318.3,150137844.4,88.89%,87.50%,87.50%,87.50%,90.00%,88.89%,88.89%,0.00%,0.00%,0.00%,,,35.93728495,39.33854172,34.68711954,29.46616614,26.27992715,17.47593556,23.45552026,,,,,,100,100,100,100,100,100,100,,,
DESA.IS,Desa Deri Sanayi ve Ticaret AS,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.1079523,0.1233448,0.26999,1.01506,1.6438125,1.1282277,0.8592593,1.2291098,1.6559477,,,,,,,,,,,,,,,,,,,,,,108890375.4,143052154.5,130294267.5,146925221.8,27313419.42,52818988.65,33515465.21,14041545.99,10937515.35,11815505.91,40.00%,40.00%,40.00%,57.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,13.31166738,19.5516956,21.09885601,20.92587658,,,,,,,,,100,100,100,100,,,,,,,
DLLA.NS,Dollar Industries Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.399691,0.4097804,0.2473017,0.3188012,0.2413669,0.4674199,0.537268,0.5225046,1.1956461,1.6017769,,0.0745,0.05599,0.15099,,,0.0994,0.1056,,,0.11221,0.12119,0.0762,0.24359,0.171,,0.1917,0.2387,,,188830656.9,313853782,285532691.3,269888563.3,280618318.9,152092343.9,99202888.06,215125802.1,325740336.2,,50.00%,50.00%,54.55%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,44.43903568,44.48910238,40.18952409,39.31607313,,,,,,,,,100,100,100,100,,,,,,,,
DOCS.L,Dr Martens PLC,Textiles & Apparel,Footwear,Footwear (NEC),1.0963428,1.2726779,1.1177635,1.1998781,2.4313205,7.0297872,,,,,0.0254,0.07116,0.1392,0.23969,0.1775,,,,,,0.0637,0.17918,0.352,0.7567,1.0506,,,,,,849959796.1,840317521.7,982290902.9,2155722882,5094179407,,,,,,41.67%,55.56%,50.00%,50.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,37.04152719,44.33113982,38.28073402,40.04860587,33.72219845,,,,,,,,100,100,100,100,100,,,,,,,
DLTH.OQ,Duluth Holdings Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.3248905,0.2885688,0.2946694,0.3155066,0.6407086,0.6058908,0.4269502,0.2015515,0.0362604,0.0555113,,,,,,,,,0.1134,0.1802,,,,0.01,0.14169,0.073,0.11179,0.1572,0.1739,0.2132,65041145.84,104990824.3,168066187.2,193002484.9,441412740.5,283849915.9,305518339.9,716687759,483022251.8,782213805.3,77.78%,75.00%,83.33%,75.00%,80.00%,77.78%,77.78%,77.78%,0.00%,0.00%,,,46.38698061,36.82680168,10.65357175,9.274787354,18.28207302,16.69855492,20.04636917,14.57791295,,,,,100,100,100,100,100,100,100,100,,
1476.TW,Eclat Textile Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.064841,0.0489389,0.10481,0.1211048,0.1044937,0.0915806,0.0962717,0.0982704,0.1064702,,0.1962,0.1588,0.21679,0.1848,0.17098,0.1891,0.19781,0.1527,0.19471,,0.24329,0.2037,0.29339,0.25539,0.22818,0.2453,0.25868,0.20274,0.27238,,2866654572,4114402836,4553813177,4154451236,5515390175,3380779394,3297837634,2731478173,2293937101,2662012191,31.58%,33.33%,30.77%,33.33%,27.27%,27.27%,27.27%,27.27%,27.27%,25.00%,,71.41888026,69.10135085,70.84857457,76.81977044,77.53599689,71.77286179,48.20544775,21.9871938,24.53812652,22.46426247,,,100,100,100,100,100,100,100,100,100,100,
ZGN.N,Ermenegildo Zegna NV,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),1.0532767,1.1059512,1.248854,1.656035,1.6692531,1.5522107,,,,,0.0275,0.0467,0.0242,0.0865,,,,,,,0.08779,0.16,0.0924,0.04397,,,,,,,2217477934,2014557092,2619191555,2375380055,2234126642,,,,,,90.91%,90.91%,90.91%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,36.28734056,33.83285227,31.01195615,,,,,,,,,,100,100,100,,,,,,,,
ESCM.KL,ES Ceramics Technology Bhd,Textiles & Apparel,Apparel & Accessories,Accessories,0.1761708,0.1733457,0.1796704,0.0040641,0.0066684,0.0105454,0.0061312,0.0025773,0.0014366,0.0021817,,,,,,,,,,,,,,,,,,,,,15628217.89,24458438.14,28496454.01,24724343.79,42687602.54,45967067.83,9191249.321,6725150.635,12709157.27,20052077.54,60.00%,60.00%,75.00%,57.14%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,21.94445541,22.87326313,34.64580766,27.9085315,,,,,,,,,100,100,100,100,,,,,,,,
0330.HK,Esprit Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.7062147,0.9944049,0.4845336,0.5143639,1.2602888,,,,,,,,,,,,,,,,,,,,,,,,,,35625608.64,46464952.85,133040602.7,284512095.4,226790235.3,225240402.8,339294523.1,327775791.1,848352024.1,1452422584,55.56%,55.56%,42.86%,40.00%,55.56%,54.55%,60.00%,66.67%,66.67%,66.67%,,,62.40559736,63.00744796,59.38256669,56.30867464,65.6990477,58.82422077,55.8951691,67.6518454,62.78961921,66.36012497,,,100,100,100,66.66666667,100,100,100,100,100,100
383220.KS,F&F Co Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.2289126,0.1968194,0.2764262,0.5005913,,,,,,,0.168,0.23879,0.32596,,,,,,,,0.55719,0.386,0.60402,,,,,,,,1553213809,1360369217,2396608847,4117999169,5376094060,,,,,,50.00%,33.33%,50.00%,40.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,55.83762253,51.73959127,52.36694401,33.35754673,,,,,,,,,100,100,100,100,,,,,,,
9910.TW,Feng Tay Enterprises Co Ltd,Textiles & Apparel,Footwear,Sports & Outdoor Footwear,0.2427268,0.2517258,0.1319136,0.4911527,0.2596928,0.2901619,0.1132989,0.233937,0.1815185,,0.11179,0.09759,0.18489,0.10009,0.1315,0.1651,0.15392,0.14194,0.14946,,0.2348,0.2066,0.4214,0.2562,0.32941,0.28929,0.32894,0.32635,0.33059,,3126096992,3869351400,5103574346,5563774801,6502455035,5129942530,4273237877,3353522003,2543544731,2360092528,31.25%,30.77%,30.77%,30.77%,30.77%,30.77%,31.25%,15.38%,15.38%,15.38%,,64.73099576,59.20420312,66.42814098,45.3061649,42.17502311,40.00684887,38.35220498,34.44543111,42.86295323,49.45781297,,,100,100,100,100,100,100,100,100,100,100,
FIGS.N,Figs Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.0129928,0.0130025,0.0142978,0.0101803,,,,,,,0.0055,0.05379,0.0825,,,,,,,,0.0289,0.0682,0.10539,0.228,,,,,,,1604076000,970301110.5,1065144513,1043659286,3962769036,,,,,,66.67%,66.67%,62.50%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,20.28803291,23.93757892,22.18229609,23.32429466,,,,,,,,,100,100,2.941176471,100,,,,,,,
FLTX.NS,Filatex India Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),0.1106187,0.1933801,0.2761646,0.3301437,0.771479,1.2117658,1.2794781,1.8444418,1.6424943,1.9692644,,,,,,,,,,,,,,,,,,,,,205598319.9,307782033.4,237620832.4,230202821.1,258117186,118455731.5,107393315.5,169985855.5,124727084.2,40984708.99,50.00%,55.56%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,31.43158395,29.96208666,33.32921974,,,,,,,,,,100,100,100,,,,,,,,
1434.TW,Formosa Taffeta Co Ltd,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),0.3071526,0.2496296,0.2659059,0.2245764,0.2196724,0.1731903,0.1578091,0.2094429,0.2222941,,,,0.00605,,,,0.06425,0.05093,0.0458,0.04046,,,0.00807,,,,0.07921,0.06874,0.0629,0.05829,727876257.9,910765364.1,1253778574,1377130835,1564468563,1525573456,1718429539,1665129220,1481904691,1457269415,27.27%,27.27%,27.27%,23.08%,38.46%,25.00%,27.27%,25.00%,25.00%,25.00%,,68.25230386,69.30940082,72.48124122,60.15311135,68.07411331,70.36262149,62.73355917,59.67142703,59.94317499,46.92988678,,,100,100,100,66.66666667,100,100,100,100,100,100,
FOSL.OQ,Fossil Group Inc,Textiles & Apparel,Apparel & Accessories,Watches,1.2056698,0.8241227,0.5371443,0.3049437,0.5168101,0.406922,0.6731127,0.7678601,0.6266547,,,,,,,,,0.0239,0.0016,0.0348,,,,,,,,0.0666,0.0038,0.081,174925114,85804699.34,69425148.4,208759093.1,472007649.7,365413343.9,355102180.4,678297482.3,314322460,1183976853,77.78%,80.00%,87.50%,83.33%,83.33%,72.73%,83.33%,75.00%,75.00%,72.73%,,,56.21428242,52.73173152,48.06678988,33.31071842,32.69486783,27.92210697,28.8618856,34.94790789,23.07828823,25.66826996,,,100,100,100,100,100,100,100,100,100,100
GIII.OQ,G-III Apparel Group Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.0036672,0.2695245,0.4470453,0.3418494,0.3834278,0.3079535,0.3251481,0.3489318,0.4521541,,0.079,0.0704,0.05089,0.0776,0.0107,0.0569,0.0697,0.0422,0.0444,,0.12609,0.12929,0.0955,0.1405,0.0204,0.1208,0.1243,0.0742,0.0706,,1040278665,1382767355,1407968312,608363710.3,1180884255,940011265.3,1429214672,1200221702,1509331228,1367623800,78.57%,80.00%,71.43%,66.67%,66.67%,66.67%,63.64%,63.64%,63.64%,63.64%,35.051478,28.91902131,28.76743008,26.48908077,26.0411068,23.66911468,19.79249011,22.84063778,29.52610869,28.58305632,,,100,100,100,100,100,100,100,100,100,100,,
GABR.CO,Gabriel Holding A/S,Textiles & Apparel,Textiles & Leather Goods,Natural Fabrics,1.3478856,1.5003459,1.2247681,1.0759027,0.9037514,0.9561376,0.6322195,0.3363249,0.3247055,0.0603686,0.03258,,,,,,,,,,,-0.062,,,,,,,,,60878779.18,45620651.45,66939478.37,129654103.4,162687368.4,157561178.4,201405349,152985380.7,129767766.8,118217281.9,42.86%,62.50%,50.00%,33.33%,33.33%,33.33%,0.00%,0.00%,0.00%,0.00%,,36.83102517,38.79850445,40.96648981,36.56909108,26.15876061,18.40264138,,,,,,,100,100,100,100,100,100,,,,,
GRWL.NS,Garware Technical Fibres Ltd,Textiles & Apparel,Textiles & Leather Goods,Synthetic Fabrics,0.0522416,0.0997691,0.1313989,0.0819844,0.1255246,0.179315,0.1660191,0.2578082,0.1928756,0.1295627,,,,,,,,,,,0.1871,0.185,0.17329,0.185,0.2,0.2023,,,,,656147110.1,1066374157,747134267.9,717253683.7,774755646.7,532442363.7,315014660.1,317452922.2,274559622.5,187480956.8,71.43%,62.50%,57.14%,42.86%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.02977808,19.29472666,19.45439516,18.72723212,,,,,,,,,100,100,100,100,,,,,,,,
GEO.MI,Geox SpA,Textiles & Apparel,Footwear,Footwear (NEC),4.8984668,4.2989182,2.9505776,2.7617152,2.6566671,1.1420393,0.1435233,0.1739455,0.2542916,,,,,,,,,,,0.00285,-0.2183,-0.0654,-0.11189,-0.426,-0.49789,-0.077,-0.0153,0.0434,0.0052,,115095278.2,141527202.7,188962144.3,208143486.8,277351844.2,205810620.8,306383065.2,304050199.3,749627601.3,572848201.5,33.33%,54.55%,44.44%,40.00%,40.00%,46.15%,0.00%,0.00%,0.00%,0.00%,,,74.28784627,82.94715317,77.13642458,65.03664399,53.50743491,54.79648112,,,,,,,100,100,100,100,100,100,,,,
GIL.TO,Gildan Activewear Inc,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),1.1349939,0.5533,0.5440499,0.3694384,0.6943781,0.5050439,0.345545,0.3071111,0.283066,,0.1354,0.1301,0.1748,0.1748,-0.0116,0.1093,0.1314,0.1296,0.1223,,0.2869,0.2358,0.302,0.3094,-0.0214,0.1801,0.1972,0.1855,0.1654,,9853769482,7016986471,5162303811,4591747956,7241124467,4539584844,5371729164,5514599811,5905886538,5692342492,84.00%,84.62%,90.91%,90.91%,90.91%,91.67%,91.67%,80.00%,84.62%,86.67%,,67.34304747,74.11490246,80.73775244,84.83708775,81.72387205,85.9171278,82.63961227,79.25064425,74.81854352,62.76259809,,,88.63636364,100,100,100,100,100,100,100,100,100,
8111.T,Goldwin Inc,Textiles & Apparel,Apparel & Accessories,Sportswear & Outdoors Clothing,0.024127,0.0290905,0.050727,0.0901421,0.217609,0.1253735,0.2227777,0.3151164,0.2916849,0.2666644,0.211,0.251,0.258,0.213,0.12359,0.205,,,,,0.232,0.27,0.293,0.247,0.216,0.25,0.247,0.154,,,1948947493,2571353902,3089085067,3229385339,2425541645,2547330515,3135107027,2220041922,787031895.1,506087432.8,40.00%,45.45%,40.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,44.41956519,37.54102976,39.81868295,,,,,,,,,,100,100,100,,,,,,,,
GRND3.SA,Grendene SA,Textiles & Apparel,Footwear,Footwear (NEC),0.021981,0.0318155,0.0344962,0.0494989,0.0238234,0.043718,0.0441342,0.038422,0.0429052,,,,,,,,,,,,,,,0.1343,0.14439,,,,,0.20145,645069931.3,684767624.3,1188658096,965331680.4,1237103134,1183921363,2461802518,1667039817,2163216713,1549157083,28.57%,28.57%,28.57%,28.57%,28.57%,28.57%,0.00%,0.00%,0.00%,0.00%,,35.96825102,37.47642548,39.49753101,33.10268324,23.48094569,25.5407205,,,,,,,100,100,100,100,100,100,,,,,
3002.T,Gunze Ltd,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.0757468,0.0767347,0.1334257,0.0988152,0.155976,0.2332255,0.2400962,0.25303,0.2627154,0.2944795,0.051,0.041,0.037,0.034,0.01345,0.041,0.042,0.02035,0.028,0.005,0.053,0.044,0.039,0.026,0.01947,0.04,0.037,0.03211,0.029,-0.011,808604810.5,578522792.7,555443557.8,550182342.3,598284519.6,511057019.5,774019671.1,635754537.5,1001842650,664666192.9,27.27%,33.33%,33.33%,33.33%,33.33%,25.00%,25.00%,15.38%,14.29%,20.00%,52.05718786,55.4642995,47.66030499,52.84779824,41.28099216,41.81183379,32.82252708,34.25858646,37.96304032,24.46568608,,,100,100,100,100,100,100,100,100,100,100,,
HAPD.IC,Hampidjan hf,Textiles & Apparel,Textiles & Leather Goods,Textiles & Leather Goods (NEC),0.6538118,0.6216543,0.7412563,0.6645806,0.7029356,0.685315,0.6719973,0.6266356,0.869509,,,,,,,,,,,,,,,,,,,,,,441287507.3,453541036.8,593885985.4,389966753.9,393540872.8,269402839.1,176880673.4,146665964.2,157178447.1,142987001.5,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,27.42822456,23.61447093,,,,,,,,,,,100,100,,,,,,,,,
020000.KS,Handsome Corp,Textiles & Apparel,Apparel & Accessories,Apparel & Accessories (NEC),0.0619919,0.037962,0.0466096,0.016587,0.0417753,0.0230228,0.0654321,0.1621293,0.0436546,,0.02573,0.0492,0.07589,0.07648,0.0616,0.06568,0.06016,0.04703,0.0566,,0.03185,0.06137,0.09559,0.09709,0.07851,0.08374,0.07746,0.05965,0.06599,,212500966.1,225101642.6,330297747.1,495645419.4,651089171,557166167.5,599848762,699542041.2,606687000.8,678835658.7,44.44%,42.86%,50.00%,42.86%,40.00%,38.46%,0.00%,0.00%,0.00%,0.00%,,42.49234614,46.69875219,37.35495092,28.50304989,27.31892535,24.67805109,,,,,,,100,100,100,100,100,100,,,,,
3389.HK,Hengdeli Holdings Ltd,Textiles & Apparel,Apparel & Accessories,Watches,0.0252645,0.0381306,0.0307671,0.029865,0.0184847,0.1030383,0.0323206,0.0246115,0.688694,0.5420618,,,,,-0.02594,0.01157,0.03927,0.03163,0.07865,0.08751,,,,,-0.05504,0.02432,0.08707,0.07243,0.183,0.19626,66974663.57,71192173.83,75635943.38,131207338.9,143582563.1,157591082.1,176199610.6,181691298.1,187440889.6,656703282.9,37.50%,50.00%,42.86%,42.86%,42.86%,42.86%,37.50%,37.50%,37.50%,42.86%,,23.0907,30.63860151,28.29719246,34.09223132,30.80009791,31.17201851,33.70301816,29.51416694,23.04946485,32.40063088,,,100,100,100,100,100,100,100,100,100,100,
HRMS.PA,Hermes International SCA,Textiles & Apparel,Apparel & Accessories,Handbags & Luggage,0.1254183,0.1354996,0.1552541,0.1914577,0.2281153,0.1736188,0.2129797,0.0106235,0.0093505,,0.21149,0.2275,0.2151,0.1964,0.1324,0.1762,0.1973,0.1914,0.19672,,0.283,0.3119,0.3083,0.2914,0.1986,0.2532,0.2665,0.2593,0.27086,,2.24018E+11,2.45132E+11,2.02567E+11,1.52548E+11,1.62155E+11,92858854795,70330342274,51180050938,47110350105,41172070680,28.57%,28.57%,25.00%,28.57%,28.57%,35.29%,30.77%,30.77%,41.67%,40.00%,,55.29918639,58.28346992,59.55130193,63.49937789,64.98776199,61.02080556,56.35107149,54.90646378,42.70344422,43.5979358,,,29.54545455,71.42857143,76.47058824,100,100,100,100,100,100,100,
