Company,Date,Link,Text
Under Armour,2025-11-02T19:20:41.506Z,https://www.linkedin.com/posts/under-armour_shop-the-shoes-that-got-sharon-lokedi-over-activity-7390830228694249472-jY8k?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"Since her breakout win at the 2022 NYC Marathon, Lokedi has podiumed in four of her six marathons, but 2025 stands apart as her most impressive year yet. For this run, she trusted Under Armour’s UA Velociti Elite 3, the brand’s most advanced marathon race shoe engineered for speed, stability, and endurance, and the same model that powered her Boston Marathon victory. 

Now available on UA.com and in select run specialty stores, the Velociti Elite 3 continues to deliver when it matters most.

https://lnkd.in/dndqHcw"
Under Armour,2025-09-22T15:33:23.394Z,https://www.linkedin.com/posts/under-armour_patrick-duroseau-on-making-an-impact-with-activity-7375915123816763393-ulHC?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"At Under Armour, we believe in showing up for others and Patrick Duroseau is doing just that through his work with Soles4Souls, a nonprofit that turns unwanted shoes and clothing into opportunity, by keeping them from going to waste and putting them to good use – providing relief, creating jobs and empowering people to break the cycle of poverty.

As a longtime volunteer and current Executive Board member, Patrick helps guide Soles4Souls’ strategy, strengthen financial oversight, and scale impact across global communities. From distributing shoes domestically in Baltimore and Atlanta to global missions in Haiti, Honduras, and the Dominican Republic, he’s seen firsthand how something as simple as a pair of shoes can restore dignity, unlock education, and create economic opportunity.

His leadership reminds teammates that giving back isn’t just a gesture, it’s a mindset. He encourages his teammates to adopt this thinking and fully leverage Under Armour’s 40 hours of annual paid #volunteer time. Making an impact in the community fuels connection, purpose, and growth for everyone involved.

#LifeatUA #FightonTogether"
Under Armour,2025-08-14T14:14:48.452Z,https://www.linkedin.com/posts/under-armour_tini-stoessel-joins-under-armour-championing-activity-7361762221158199296-kSS_?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"Tini Stoessel Joins Under Armour, Championing a New Era of Performance and Self-Expression 

Argentinian pop sensation Tini is UA’s newest brand #ambassador, bringing her signature blend of strength, authenticity, and style to the forefront of #sport and #culture. 

With a fanbase that spans continents, Tini represents a new generation of #athletes. She will headline both regional and global campaigns, co-creating digital storytelling, live activations, and wellness-driven initiatives.  

https://lnkd.in/eB9mqVgM"
Under Armour,2025-06-12T13:30:44.016Z,https://www.linkedin.com/posts/under-armour_lifeatua-fertilitybenefits-employeesupport-activity-7338920694056951809-NuDI?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADqrELEB54AWnVjn_ZMrJgLJOGsdW0MjjpE,"We believe that supporting our Under Armour teammates means showing up for every chapter of their lives—including the journey to parenthood.
 
When teammate Crystal Sherrod first discussed UA’s fertility benefits, it was through heartfelt conversations with her teammates who had walked the same path. That sense of community and shared experience is what makes our culture so special. 
 
Through our medical plan, U.S. based teammates have access to a flexible and comprehensive benefit that includes:
🩺 Covered initial consultations and diagnostic testing
🏥 Access to a wide network of clinics
🎯 Point-based system for personalized treatment paths, including the option to begin with IVF
🤝 Dedicated point of contact to help navigate the process
 
For Crystal, this benefit wasn’t just helpful—it was life-changing. After 17 years at UA and welcoming a child through her IVF journey, she described the support as ""the best bonus UA has ever given me!"" From generous parental leave to leadership that understands the time and emotional investment fertility treatment requires, UA’s commitment to employee well-being goes far beyond the workplace.
 
#LifeAtUA #FertilityBenefits #EmployeeSupport #WorkplaceWellbeing #UnderArmourMakesYouBetter"
Under Armour,2025-04-04T15:57:33.754Z,https://www.linkedin.com/posts/under-armour_shari-manning-on-volunteering-with-team-rubicon-activity-7313952882049892352-UpqS?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEEwhR8BmoWSRVBrwSVy1xrDQ-w28beKGSw,"At Under Armour, we believe in the importance of making a difference in the communities where we live and work. To support our teammates in being a force for good, we are proud to offer 40 hours of annual paid volunteer time. This benefit provides our team the opportunity to support the causes they are passionate about, whether it's coaching youth, participating in environmental clean-ups, or helping local nonprofits.
 
This Volunteer Month, we're proud to celebrate the incredible efforts of our team members who dedicate their time and skills to make a difference and highlight one teammate who used her volunteer hours to make an #impact. 
 
Shari Manning supported our longstanding partner Team Rubicon in their relief efforts in Georgia following Hurricane Helene. She knew this was an opportunity to help uplift a community in need and she encourages other teammates to get involved.

#lifeatua #volunteermonth #fightontogether"
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_storelaunch-newstore-travelessentials-activity-7373651280667414529-9WF6?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"✨ Exciting News! Our New Store Has Arrived in Malda! ✨

We are thrilled to announce the grand opening of our latest store at PRM Centre Point Mall, Malda, West Bengal. 🎉

Discover a wide range of high-quality luggage and travel accessories that combine durability, style, and innovation — designed to accompany you on every journey.

📍 Location: PRM Centre Point Mall, Malda, West Bengal
🛍️ Visit us today and elevate your travel experience with our exclusive collections.

Let your next adventure begin here! 🚀✈️

hashtag#StoreLaunch hashtag#NewStore hashtag#TravelEssentials hashtag#Luggage hashtag#RetailExpansion hashtag#WestBengal hashtag#ShoppingExperience hashtag#Safari hashtag#Safaribags hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel

Nrupal Mehta Akassh Mittal Anaysha Choudhury
"
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_badmintontournament-teamspirit-funatwork-activity-7348591245344018432-Muq6?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"🏸 Smashing Success at Our Badminton Tournament – 5th July 2025! 🏆

What a fantastic day it was as our teams battled it out on the court during our Inter-Department Badminton Tournament held on 5th July 2025! The energy, excitement, and enthusiasm were unmatched.

From powerful smashes to strategic drop shots, every match showcased amazing talent, sportsmanship, and team bonding. 💥💪

👏 A big round of applause to all the winners and participants who made the tournament a grand success — your spirit truly defines what it means to be a team!

Here’s to more such vibrant moments that bring us together beyond our workstations. 🥳

hashtag#BadmintonTournament hashtag#TeamSpirit hashtag#FunAtWork hashtag#EmployeeEngagement hashtag#SportsDay hashtag#LifeAtSafari hashtag#July2025 hashtag#Safari hashtag#Safaribags hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel"
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_safariindustries-travelsentryawards-awardwinningdesign-activity-7343949679866347521-KNoG?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"🏆 Double Win for Safari! 🏆

We’re proud to share that we have been recognized with two prestigious awards at the Travel Sentry Product Awards 2025! ✈️🎉

This global recognition celebrates our dedication to design excellence, travel security, and customer-centric innovation in the luggage industry.

🔹 Award 1: [Phoenix LT - Soft Luggage https://lnkd.in/dsCZfkz5]
🔹 Award 2: [Caliber - Hard Luggage https://lnkd.in/dtTdKyC6 ]

These accolades are a reflection of our team’s passion, precision, and pursuit of perfection in every product we craft. A heartfelt thank you to our customers, partners, and the entire Safari family for being part of this incredible journey.

Here's to setting new benchmarks in travel gear! 🌍🧳
hashtag#SafariIndustries hashtag#TravelSentryAwards hashtag#AwardWinningDesign hashtag#InnovationInTravel hashtag#ProudMoment hashtag#LuggageThatLeads hashtag#MadeForTheWorld hashtag#Safari hashtag#Safaribags hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel"
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_internationalyogaday-wellnessatwork-employeewellbeing-activity-7342823913841688576-_owi?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Today, our team came together to embrace the spirit of balance, mindfulness, and well-being through a rejuvenating yoga session at the workplace.

From ""Surya Namaskar"" to ""Deep Breathing"", our employees took a mindful pause from their busy routines to prioritize health — both physical and mental.

At Safari, we believe wellness is not just a practice, but a culture. A huge thank you to everyone who participated and brought such positive energy to the day! 🌿✨

Here’s to staying healthy, centered, and connected — on and off the mat. hashtag#InternationalYogaDay hashtag#WellnessAtWork hashtag#EmployeeWellbeing hashtag#HealthyWorkplace hashtag#YogaForLife hashtag#Safari hashtag#Safaribags hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel"
Safari Industries (India) Ltd,2025,https://www.linkedin.com/posts/safari-industries-india-ltd%2E_design-tour-mumbai-activity-7323941240046010368-J9yn?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Empowering Creativity through Collaboration!
It was energizing to see such enthusiastic participation, diverse perspectives, and creative approach come together in one space.

A big shoutout to Nazuk Keshan for turning this workshop into a masterclass in design thinking.

Kudos to Parul University for fostering such a passionate and creative student Community!!

hashtag#designtour hashtag#designworkshop hashtag#industrialvisit hashtag#Safaribags hashtag#Safari hashtag#UrbanJungle hashtag#SafariSelect hashtag#luggage hashtag#Backpack hashtag#BornToTravel"
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageindustries-pil-pageians-activity-6882612137534091264-7mmc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Page Industries Ltd wishes all followers a happy and safe New Year!

hashtag#pageindustries hashtag#pil hashtag#pageians hashtag#jockey hashtag#speedo hashtag#jockeyindia hashtag#speedoindia"
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageians-pageindustries-pil-activity-6892756437462872064-OkPH?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Page Industries celebrated the 73rd Republic Day across all manufacturing facilities

hashtag#pageians hashtag#pageindustries hashtag#pil hashtag#jockey hashtag#jockeyindia hashtag#speedo hashtag#speedoindia hashtag#73rdrepublicday"
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageindustries-pil-jockey-activity-6906540481568735232-Ah5M?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Happy Women’s Day!
We thank our 22000+ women employees who are the backbone of our organisation.

hashtag#pageindustries hashtag#pil hashtag#jockey hashtag#speedo hashtag#jockeyindia hashtag#speedoindia hashtag#womensday2022"
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageians-pageindustries-pil-activity-6938380827089068032-l4eJ?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"We are Hiring!

To Apply, visit https://lnkd.in/gVNJ7Q5 for more details.

hashtag#pageians hashtag#pageindustries hashtag#pil hashtag#jockey hashtag#speedo hashtag#jockeyindia hashtag#speedoindia hashtag#workwithus hashtag#openpositions hashtag#vacancyjob"
Page Industries Ltd,2022,https://www.linkedin.com/posts/jockey-india_pageians-pil-pageindustries-activity-6940254376099753985-4pPc?utm_source=share&utm_medium=member_desktop&rcm=ACoAAFX9cucB265rYizKTaJoNqng6qm1sY5pZcI,"Importance of Ergonomics in the Workplace

Not only does ergonomics increase comfort; it increases productivity and decreases stress. 

hashtag#pageians hashtag#pil hashtag#pageindustries hashtag#jockey hashtag#speedo hashtag#jockeyindia hashtag#speedoindia hashtag#productivity hashtag#managingstress hashtag#ergonomics hashtag#ergonomicsolutions"
Titan Company Limited,2022-01-05T09:29:23.344Z,https://www.linkedin.com/posts/titan-industries_spotlightontitanians-lifeattitan-titancompany-activity-6884425574253756416-9LTi?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEFryNABZQXF2Nkdh4xuFAnasIjxrUgCnCE,"5 Professional Goals for 2022

Narasimhan YL walked through the doors of Titan in 2005. Every day since then, his journey has been filled with moments of learning, growth and teamwork. As we step into 2022, he shares 5 pieces of professional advice to help carve your very own success story this year.

1. Always trust the journey. A solid process in place is half the job well done. 

2. Set realistic goals but with room for exploration/experimentation. 

3. Build and nurture your team based on trust. 

4. Take time out for self and family to balance out. Step back, reflect and refresh.

5. Last but surely not the least, enjoy every bit of the step with gratitude.

#SpotlightOnTitanians #LifeAtTitan #TitanCompany"
Titan Company Limited,2022-01-31T10:55:29.432Z,https://www.linkedin.com/posts/titan-industries_titancompany-lifeattitan-activity-6893869326902947840-AxHL?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEFryNABZQXF2Nkdh4xuFAnasIjxrUgCnCE,"It's the last day of the month. And a Monday on top of that. How are you staying motivated today? Here are some ways to lift your spirits and set the tone for a great week ahead.

#TitanCompany #LifeAtTitan"
Titan Company Limited,2022-03-30T10:03:24.075Z,https://www.linkedin.com/posts/titan-industries_leadersinfocus-lifeattitan-titancompany-activity-6914874714410688512-4GlZ?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAAEFryNABZQXF2Nkdh4xuFAnasIjxrUgCnCE,"This month in #LeadersInFocus, we’ve got Sumant Sood - Head of Innovation, Titan Company Limited, talking about the things that make him tick and sharing tips for youngsters to stay ahead of the game.
#LifeAtTitan #TitanCompany"
Titan Company Limited,2022-09-11T04:37:34.797Z,https://www.linkedin.com/posts/titan-industries_titan-go-green-launch-in-pantnagar-activity-6974586716619759616-oSH8?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADwGx2IBMJdzHSb2ujHdOLlm6mVVIp7L_Fw,"Here's some sneak peak from our Titan Go Green launch in Pantnagar, Uttarakhand.

Vehicle courtesy : Tata Passenger Electric Mobility Limited


#TitanGoGreen #GoGreen #RunForSustainability #Marathoners #GoGreenRun #LifeAtTitan #VirtualRun #PlantATree #GoGreenMovement"
Titan Company Limited,2022-10-18T08:58:44.495Z,https://www.linkedin.com/posts/titan-industries_family-activity-6988060791123951616-kIIw?utm_source=social_share_send&utm_medium=member_desktop_web&rcm=ACoAADwGx2IBMJdzHSb2ujHdOLlm6mVVIp7L_Fw,"Second film in the Tanishq Jewellery’s series of festive films, ‘Pehli Diwali’ staying true to its narrative captures the essence of Pehli diwali with our new Family. The film breaks into the life of a Lieutenant in The Indian Air Force celebrating her first Diwali away from home with her new Air Force family. Through the film, Tanishq celebrates the growth stories the Indian woman is crafting for herself. 

#NayiShururat Ki #PehliDiwali"
