Identifier (RIC),Company
002563.SZ,Zhejiang Semir Garment Co Ltd
002867.SZ,Chow Tai Seng Jewellery Co Ltd
0116.HK,Chow Sang Sang Holdings International Ltd
020000.KS,Handsome Corp
0210.HK,Daphne International Holdings Ltd
0321.HK,Texwinca Holdings Ltd
0330.HK,Esprit Holdings Ltd
0551.HK,Yue Yuen Industrial (Holdings) Ltd
093050.KS,LF Corp
111770.KS,Youngone Corp
1361.HK,361 Degrees International Ltd
1368.HK,Xtep International Holdings Ltd
1434.TW,Formosa Taffeta Co Ltd
1440.TW,Tainan Spinning Co Ltd
1476.TW,Eclat Textile Co Ltd
1477.TW,Makalot Industrial Co Ltd
1910.HK,Samsonite Group SA
1913.HK,Prada SpA
1929.HK,Chow Tai Fook Jewellery Group Ltd
2020.HK,ANTA Sports Products Ltd
2313.HK,Shenzhou International Group Holdings Ltd
2331.HK,Li Ning Co Ltd
2915.TW,Ruentex Industries Ltd
3002.T,Gunze Ltd
300979.SZ,Huali Industrial Group Co Ltd
3389.HK,Hengdeli Holdings Ltd
3591.T,Wacoal Holdings Corp
3818.HK,China Dongxiang (Group) Co Ltd
383220.KS,F&F Co Ltd
3998.HK,Bosideng International Holdings Ltd
600177.SS,Youngor Fashion Co Ltd
600398.SS,HLA Group Corp Ltd
600612.SS,Lao Feng Xiang Co Ltd
601718.SS,Jihua Group Corp Ltd
603225.SS,Xinfengming Group Co Ltd
7762.T,Citizen Watch Co Ltd
7936.T,Asics Corp
8016.T,Onward Holdings Co Ltd
8111.T,Goldwin Inc
9904.TW,Pou Chen Corp
9910.TW,Feng Tay Enterprises Co Ltd
9938.TW,Taiwan Paiho Ltd
AAHG.F,Ahlers AG
ADSGn.DE,Adidas AG
AEF.MI,Aeffe SpA
AKSA.IS,Aksa Akrilik Kimya Sanayii AS
ALOK.NS,Alok Industries Ltd
ALPA4.SA,Alpargatas SA
ARVN.NS,Arvind Ltd
ASIA.KL,Asia Brands Bhd
BATA.NS,Bata India Ltd
BCU.MI,Brunello Cucinelli SpA
BIRK.N,Birkenstock Holding PLC
BORG.ST,Bjorn Borg AB
BOSSn.DE,Hugo Boss AG
CALN.S,Calida Holding AG
CFR.S,Compagnie Financiere Richemont SA
COA.L,Coats Group PLC
COLM.OQ,Columbia Sportswear Co
CROX.OQ,Crocs Inc
CULP.OQ,Culp Inc
DECK.N,Deckers Outdoor Corp
DESA.IS,Desa Deri Sanayi ve Ticaret AS
DIOR.PA,Christian Dior SE
DLAPQ.PK,Delta Apparel Inc
DLLA.NS,Dollar Industries Ltd
DLTH.OQ,Duluth Holdings Inc
DOCS.L,Dr Martens PLC
ECNL.MI,Aquafil SpA
ESCM.KL,ES Ceramics Technology Bhd
FIGS.N,Figs Inc
FLTX.NS,Filatex India Ltd
FOSL.OQ,Fossil Group Inc
GABR.CO,Gabriel Holding A/S
GEO.MI,Geox SpA
GIII.OQ,G-III Apparel Group Ltd
GIL.TO,Gildan Activewear Inc
GOOS.TO,Canada Goose Holdings Inc
GRND3.SA,Grendene SA
GRWL.NS,Garware Technical Fibres Ltd
HAPD.IC,Hampidjan hf
HHRG.KL,HHRG Bhd
HRMS.PA,Hermes International SCA
ICNT.NS,Indo Count Industries Ltd
JINW.NS,Jindal Worldwide Ltd
JSG.L,Johnson Service Group PLC
KKCL.NS,Kewal Kiran Clothing Ltd
KORDS.IS,Kordsa Teknik Tekstil AS
KPRM.NS,KPR Mill Ltd
KTB.N,Kontoor Brands Inc
LAKE.OQ,Lakeland Industries Inc
LAMB.KL,Lambo Group Bhd
LEVI.N,Levi Strauss & Co
LITB.N,LightInTheBox Holding Co Ltd
LULU.OQ,Lululemon Athletica Inc
LUXI.NS,Lux Industries Ltd
LVMH.PA,LVMH Moet Hennessy Louis Vuitton SE
MAGN.N,Magnera Corp
MATE.KL,Magni-Tech Industries Bhd
MC.BK,MC Group PCL
MEKKO.HE,Marimekko Oyj
MIRZ.NS,Mirza International Ltd
MONC.MI,Moncler SpA
MONNA.MI,Monnalisa SpA
MOV.N,Movado Group Inc
MTC.L,Mothercare PLC
MUL.L,Mulberry Group PLC
NBHG.MU,Hoftex Group AG
NEWAb.ST,New Wave Group AB
NILb.ST,Nilorngruppen AB
NKE.N,Nike Inc
ONON.N,On Holding Ltd
OXM.N,Oxford Industries Inc
PAGE.NS,Page Industries Ltd
PCJE.NS,PC Jeweller Ltd
PDJ.BK,Pranda Jewelry PCL
PDSL.NS,PDS Ltd
PNDORA.CO,Pandora A/S
POHK.KL,Poh Kong Holdings Bhd
PUMG.DE,Puma SE
PVH.N,PVH Corp
RCKY.OQ,Rocky Brands Inc
REXP.NS,Rajesh Exports Ltd
RL.N,Ralph Lauren Corp
RLXO.NS,Relaxo Footwears Ltd
RUCL.NS,Rupa & Company Ltd
RYMD.NS,Raymond Ltd
SABINA.BK,Sabina PCL
SAFA.NS,Safari Industries (India) Ltd
SASA.IS,SASA Polyester Sanayi AS
SFER.MI,Salvatore Ferragamo SpA
SGC.OQ,Superior Group of Companies Inc
SHOO.OQ,Steven Madden Ltd
SIYR.NS,Siyaram Silk Mills Ltd
SUNTK.IS,Sun Tekstil Sanayi Ve Ticaret AS
SUY1V.HE,Suominen Oyj
SWAN.NS,Swan Corp Ltd
TECE.KL,Techbase Industries Bhd
TITN.NS,Titan Company Ltd
TPCS.BK,Tpcs PCL
TRIE.NS,Trident Ltd
UAA.N,Under Armour Inc
UFI.N,Unifi Inc
UHR.S,Swatch Group AG
UPF.BK,Union Pioneer PCL
VAIB.NS,Vaibhav Global Ltd
VART.NS,Vardhman Textiles Ltd
VELD.BR,Van de Velde NV
VFC.N,VF Corp
VIPI.NS,V I P Industries Ltd
VRA.OQ,Vera Bradley Inc
WACOAL.BK,Thai Wacoal PCL
WEYS.OQ,WEYCO Group Inc
WLSP.NS,Welspun Living Ltd
WWW.N,Wolverine World Wide Inc
YUNSA.IS,Yunsa Yunlu Sanayi ve Ticaret AS
YXPR.KL,YX Precious Metals Bhd
ZGN.N,Ermenegildo Zegna NV
ZHCO.KL,Zhulian Corporation Bhd
